node,neighbors
9606.ENSP00000000233,9606.ENSP00000356607;9606.ENSP00000427567;9606.ENSP00000253413;9606.ENSP00000493357;9606.ENSP00000324127;9606.ENSP00000325266;9606.ENSP00000320935;9606.ENSP00000371175;9606.ENSP00000480364;9606.ENSP00000388107;9606.ENSP00000461784;9606.ENSP00000381097;9606.ENSP00000234160;9606.ENSP00000241502;9606.ENSP00000317272;9606.ENSP00000487719;9606.ENSP00000354878;9606.ENSP00000479606;9606.ENSP00000369127;9606.ENSP00000493946;9606.ENSP00000383023;9606.ENSP00000266126;9606.ENSP00000262027;9606.ENSP00000271526;9606.ENSP00000364898;9606.ENSP00000325074;9606.ENSP00000310226;9606.ENSP00000006275;9606.ENSP00000369965;9606.ENSP00000258098;9606.ENSP00000265462;9606.ENSP00000347464;9606.ENSP00000330842;9606.ENSP00000358723;9606.ENSP00000363232;9606.ENSP00000498386;9606.ENSP00000225655;9606.ENSP00000351926;9606.ENSP00000447300;9606.ENSP00000264335;9606.ENSP00000482829;9606.ENSP00000387549;9606.ENSP00000386857;9606.ENSP00000271889;9606.ENSP00000377769;9606.ENSP00000489407;9606.ENSP00000341885;9606.ENSP00000307939;9606.ENSP00000297532;9606.ENSP00000222803;9606.ENSP00000347055;9606.ENSP00000378402;9606.ENSP00000258301;9606.ENSP00000232905;9606.ENSP00000323879;9606.ENSP00000254900;9606.ENSP00000253055;9606.ENSP00000466134;9606.ENSP00000338864;9606.ENSP00000311449;9606.ENSP00000280706;9606.ENSP00000262455;9606.ENSP00000345133;9606.ENSP00000382250;9606.ENSP00000257770;9606.ENSP00000351446;9606.ENSP00000255006;9606.ENSP00000386248;9606.ENSP00000381601;9606.ENSP00000211998;9606.ENSP00000253861;9606.ENSP00000373684;9606.ENSP00000305260;9606.ENSP00000216373;9606.ENSP00000157812;9606.ENSP00000219479;9606.ENSP00000262584;9606.ENSP00000248901;9606.ENSP00000361177;9606.ENSP00000243440;9606.ENSP00000405926;9606.ENSP00000481780;9606.ENSP00000419195;9606.ENSP00000279387;9606.ENSP00000304604;9606.ENSP00000158762;9606.ENSP00000302968;9606.ENSP00000291906;9606.ENSP00000249647;9606.ENSP00000253686;9606.ENSP00000347140;9606.ENSP00000320866;9606.ENSP00000429374;9606.ENSP00000346173;9606.ENSP00000367220;9606.ENSP00000265753;9606.ENSP00000369080;9606.ENSP00000286827;9606.ENSP00000357838;9606.ENSP00000364298;9606.ENSP00000363524;9606.ENSP00000463842;9606.ENSP00000413697;9606.ENSP00000402515;9606.ENSP00000359300;9606.ENSP00000300087;9606.ENSP00000389103;9606.ENSP00000401564;9606.ENSP00000428714;9606.ENSP00000385432;9606.ENSP00000463559;9606.ENSP00000300651;9606.ENSP00000286719;9606.ENSP00000430344;9606.ENSP00000359424;9606.ENSP00000386264;9606.ENSP00000269051;9606.ENSP00000357178;9606.ENSP00000358696;9606.ENSP00000219204;9606.ENSP00000381876;9606.ENSP00000439020;9606.ENSP00000397441;9606.ENSP00000360613;9606.ENSP00000401888;9606.ENSP00000239690;9606.ENSP00000354451;9606.ENSP00000237264;9606.ENSP00000462468;9606.ENSP00000369784;9606.ENSP00000357048;9606.ENSP00000331748;9606.ENSP00000338844;9606.ENSP00000317469;9606.ENSP00000262942;9606.ENSP00000240874;9606.ENSP00000298552;9606.ENSP00000362566;9606.ENSP00000369810;9606.ENSP00000362730;9606.ENSP00000392718;9606.ENSP00000413152;9606.ENSP00000303178;9606.ENSP00000236192;9606.ENSP00000434103;9606.ENSP00000339063;9606.ENSP00000354947;9606.ENSP00000370719;9606.ENSP00000384675;9606.ENSP00000349168;9606.ENSP00000378721;9606.ENSP00000382697;9606.ENSP00000347134;9606.ENSP00000384700;9606.ENSP00000258739;9606.ENSP00000261842;9606.ENSP00000295408;9606.ENSP00000363779;9606.ENSP00000479134;9606.ENSP00000300055;9606.ENSP00000262305;9606.ENSP00000365012;9606.ENSP00000312778;9606.ENSP00000472985;9606.ENSP00000389277;9606.ENSP00000298229;9606.ENSP00000481721;9606.ENSP00000259056;9606.ENSP00000259808;9606.ENSP00000263847;9606.ENSP00000178640;9606.ENSP00000299138;9606.ENSP00000256404;9606.ENSP00000300935;9606.ENSP00000301037;9606.ENSP00000374484;9606.ENSP00000392513;9606.ENSP00000220003;9606.ENSP00000378769;9606.ENSP00000263354;9606.ENSP00000380334;9606.ENSP00000361635;9606.ENSP00000273130;9606.ENSP00000367197;9606.ENSP00000355689;9606.ENSP00000257904;9606.ENSP00000302886;9606.ENSP00000478887;9606.ENSP00000348461;9606.ENSP00000272322;9606.ENSP00000417378;9606.ENSP00000358997;9606.ENSP00000313420;9606.ENSP00000311430;9606.ENSP00000387307;9606.ENSP00000263657;9606.ENSP00000380869;9606.ENSP00000329419;9606.ENSP00000372023;9606.ENSP00000360108;9606.ENSP00000341071;9606.ENSP00000383996;9606.ENSP00000361206;9606.ENSP00000411471;9606.ENSP00000432660;9606.ENSP00000375220;9606.ENSP00000361298;9606.ENSP00000377148;9606.ENSP00000332791;9606.ENSP00000267257;9606.ENSP00000346037;9606.ENSP00000378557;9606.ENSP00000260746;9606.ENSP00000264065;9606.ENSP00000438388;9606.ENSP00000357283;9606.ENSP00000380638;9606.ENSP00000329471;9606.ENSP00000313007;9606.ENSP00000355428;9606.ENSP00000371230;9606.ENSP00000271857;9606.ENSP00000376345;9606.ENSP00000270142;9606.ENSP00000353846;9606.ENSP00000381098;9606.ENSP00000364555;9606.ENSP00000337261;9606.ENSP00000364579;9606.ENSP00000303507;9606.ENSP00000342136;9606.ENSP00000411831;9606.ENSP00000378323;9606.ENSP00000275364;9606.ENSP00000494678;9606.ENSP00000360793;9606.ENSP00000494750;9606.ENSP00000265709;9606.ENSP00000285873;9606.ENSP00000416097;9606.ENSP00000423399;9606.ENSP00000355651;9606.ENSP00000349016;9606.ENSP00000364449;9606.ENSP00000357810;9606.ENSP00000386786;9606.ENSP00000479816;9606.ENSP00000424711;9606.ENSP00000446955;9606.ENSP00000309415;9606.ENSP00000356864;9606.ENSP00000262146;9606.ENSP00000298159;9606.ENSP00000221114;9606.ENSP00000203556;9606.ENSP00000337797;9606.ENSP00000354669;9606.ENSP00000347244;9606.ENSP00000318821;9606.ENSP00000373215;9606.ENSP00000377948;9606.ENSP00000370208;9606.ENSP00000300176;9606.ENSP00000380070;9606.ENSP00000360532;9606.ENSP00000046087;9606.ENSP00000380718;9606.ENSP00000258955;9606.ENSP00000469035;9606.ENSP00000331901;9606.ENSP00000269881;9606.ENSP00000244496;9606.ENSP00000367658;9606.ENSP00000293831;9606.ENSP00000219252;9606.ENSP00000258457;9606.ENSP00000385000;9606.ENSP00000219476;9606.ENSP00000463939;9606.ENSP00000442736;9606.ENSP00000331602;9606.ENSP00000236709;9606.ENSP00000218340;9606.ENSP00000299705;9606.ENSP00000223369;9606.ENSP00000295240;9606.ENSP00000471457;9606.ENSP00000357660;9606.ENSP00000310491;9606.ENSP00000322170;9606.ENSP00000345656;9606.ENSP00000239440;9606.ENSP00000387875;9606.ENSP00000273375;9606.ENSP00000302830;9606.ENSP00000256858;9606.ENSP00000356000;9606.ENSP00000381339;9606.ENSP00000306124;9606.ENSP00000285208;9606.ENSP00000363638;9606.ENSP00000379287;9606.ENSP00000356920;9606.ENSP00000243298;9606.ENSP00000437073;9606.ENSP00000266037;9606.ENSP00000416250;9606.ENSP00000003100;9606.ENSP00000380524;9606.ENSP00000290378;9606.ENSP00000361803;9606.ENSP00000365773;9606.ENSP00000362294;9606.ENSP00000480707;9606.ENSP00000270176;9606.ENSP00000376367;9606.ENSP00000361264;9606.ENSP00000294618;9606.ENSP00000370695;9606.ENSP00000423673;9606.ENSP00000416750;9606.ENSP00000371267;9606.ENSP00000263125;9606.ENSP00000361275;9606.ENSP00000009530;9606.ENSP00000369390;9606.ENSP00000366283;9606.ENSP00000300093;9606.ENSP00000360916;9606.ENSP00000388169;9606.ENSP00000444561;9606.ENSP00000393541;9606.ENSP00000296474;9606.ENSP00000314733;9606.ENSP00000232975;9606.ENSP00000349305;9606.ENSP00000264995;9606.ENSP00000481994;9606.ENSP00000265062;9606.ENSP00000262288;9606.ENSP00000265431;9606.ENSP00000255194;9606.ENSP00000229812;9606.ENSP00000263904;9606.ENSP00000340454;9606.ENSP00000223073;9606.ENSP00000313869;9606.ENSP00000287878;9606.ENSP00000256460;9606.ENSP00000365162;9606.ENSP00000222286;9606.ENSP00000326238;9606.ENSP00000328287;9606.ENSP00000334300;9606.ENSP00000258886;9606.ENSP00000446830;9606.ENSP00000428489;9606.ENSP00000378338;9606.ENSP00000456206;9606.ENSP00000254976;9606.ENSP00000262177;9606.ENSP00000367806;9606.ENSP00000368237;9606.ENSP00000360676;9606.ENSP00000355966;9606.ENSP00000338777;9606.ENSP00000203407;9606.ENSP00000296255;9606.ENSP00000386588;9606.ENSP00000430276;9606.ENSP00000371554;9606.ENSP00000280772;9606.ENSP00000350896;9606.ENSP00000234313;9606.ENSP00000203630;9606.ENSP00000326342;9606.ENSP00000216133;9606.ENSP00000338127;9606.ENSP00000239891;9606.ENSP00000319060;9606.ENSP00000363308;9606.ENSP00000009105;9606.ENSP00000364361;9606.ENSP00000264028;9606.ENSP00000371133;9606.ENSP00000365891;9606.ENSP00000393241;9606.ENSP00000331849;9606.ENSP00000346839;9606.ENSP00000310722;9606.ENSP00000309714;9606.ENSP00000267814;9606.ENSP00000326381;9606.ENSP00000361917;9606.ENSP00000307078;9606.ENSP00000413436;9606.ENSP00000335153;9606.ENSP00000358071;9606.ENSP00000263265;9606.ENSP00000389445;9606.ENSP00000320295;9606.ENSP00000361900;9606.ENSP00000246069;9606.ENSP00000436785;9606.ENSP00000274710;9606.ENSP00000397947;9606.ENSP00000457728;9606.ENSP00000350348;9606.ENSP00000376293;9606.ENSP00000451560;9606.ENSP00000409952;9606.ENSP00000305071;9606.ENSP00000255136;9606.ENSP00000385886;9606.ENSP00000262498;9606.ENSP00000268057;9606.ENSP00000483786;9606.ENSP00000221138;9606.ENSP00000354927;9606.ENSP00000388996;9606.ENSP00000262948;9606.ENSP00000483552;9606.ENSP00000362727;9606.ENSP00000256682;9606.ENSP00000445122;9606.ENSP00000279242;9606.ENSP00000478061;9606.ENSP00000359386;9606.ENSP00000268182;9606.ENSP00000338019;9606.ENSP00000426909;9606.ENSP00000314615;9606.ENSP00000262225;9606.ENSP00000234453;9606.ENSP00000308413;9606.ENSP00000419494;9606.ENSP00000351333;9606.ENSP00000389351;9606.ENSP00000378712;9606.ENSP00000459626;9606.ENSP00000373979;9606.ENSP00000360922;9606.ENSP00000495614;9606.ENSP00000300584;9606.ENSP00000219255;9606.ENSP00000331342;9606.ENSP00000269209;9606.ENSP00000368758;9606.ENSP00000429323;9606.ENSP00000482657;9606.ENSP00000480332;9606.ENSP00000292614;9606.ENSP00000398803;9606.ENSP00000378313;9606.ENSP00000420311;9606.ENSP00000461879;9606.ENSP00000369431;9606.ENSP00000418695;9606.ENSP00000369318;9606.ENSP00000376792;9606.ENSP00000481126;9606.ENSP00000324020;9606.ENSP00000449241;9606.ENSP00000498855;9606.ENSP00000408910;9606.ENSP00000410833;9606.ENSP00000389095;9606.ENSP00000362656;9606.ENSP00000296953;9606.ENSP00000288670;9606.ENSP00000274364;9606.ENSP00000223023;9606.ENSP00000381293;9606.ENSP00000254950;9606.ENSP00000384593;9606.ENSP00000381785;9606.ENSP00000382423;9606.ENSP00000314030;9606.ENSP00000359571;9606.ENSP00000380308;9606.ENSP00000392147;9606.ENSP00000392330;9606.ENSP00000351015;9606.ENSP00000335655;9606.ENSP00000361475;9606.ENSP00000257663;9606.ENSP00000386443;9606.ENSP00000281141;9606.ENSP00000370013;9606.ENSP00000480301;9606.ENSP00000362036;9606.ENSP00000248437;9606.ENSP00000261890;9606.ENSP00000373404;9606.ENSP00000348215;9606.ENSP00000311962;9606.ENSP00000216274;9606.ENSP00000475168;9606.ENSP00000482543;9606.ENSP00000354111;9606.ENSP00000400717;9606.ENSP00000245932;9606.ENSP00000446215;9606.ENSP00000268919;9606.ENSP00000370419;9606.ENSP00000306548;9606.ENSP00000306902;9606.ENSP00000314067;9606.ENSP00000279281;9606.ENSP00000377280;9606.ENSP00000306637;9606.ENSP00000357076;9606.ENSP00000261776;9606.ENSP00000384869;9606.ENSP00000479488;9606.ENSP00000378306;9606.ENSP00000377789;9606.ENSP00000360609;9606.ENSP00000285735;9606.ENSP00000282356;9606.ENSP00000349041;9606.ENSP00000401010;9606.ENSP00000229270;9606.ENSP00000418401;9606.ENSP00000378485;9606.ENSP00000354791;9606.ENSP00000364864;9606.ENSP00000245796;9606.ENSP00000333326;9606.ENSP00000434442;9606.ENSP00000317376;9606.ENSP00000429283;9606.ENSP00000279036;9606.ENSP00000249923;9606.ENSP00000361057;9606.ENSP00000357452;9606.ENSP00000387246;9606.ENSP00000301332;9606.ENSP00000332407;9606.ENSP00000362108;9606.ENSP00000377936;9606.ENSP00000361748;9606.ENSP00000362680;9606.ENSP00000303366;9606.ENSP00000369643;9606.ENSP00000239940;9606.ENSP00000306010;9606.ENSP00000369131;9606.ENSP00000260762;9606.ENSP00000335193;9606.ENSP00000287218;9606.ENSP00000365458;9606.ENSP00000440207;9606.ENSP00000351209;9606.ENSP00000306678;9606.ENSP00000358019;9606.ENSP00000386135;9606.ENSP00000299882;9606.ENSP00000369703;9606.ENSP00000357869;9606.ENSP00000324806;9606.ENSP00000334100;9606.ENSP00000326031;9606.ENSP00000384198;9606.ENSP00000353864;9606.ENSP00000263088;9606.ENSP00000383053;9606.ENSP00000414398;9606.ENSP00000386959;9606.ENSP00000295463;9606.ENSP00000361949;9606.ENSP00000244227;9606.ENSP00000362578;9606.ENSP00000403343;9606.ENSP00000375821;9606.ENSP00000265171;9606.ENSP00000394071;9606.ENSP00000425561;9606.ENSP00000262646;9606.ENSP00000358307;9606.ENSP00000381247;9606.ENSP00000494697;9606.ENSP00000263168;9606.ENSP00000444425;9606.ENSP00000262866;9606.ENSP00000362639;9606.ENSP00000273047;9606.ENSP00000360860;9606.ENSP00000468376;9606.ENSP00000307508;9606.ENSP00000298910;9606.ENSP00000261769;9606.ENSP00000363597;9606.ENSP00000496241;9606.ENSP00000353292;9606.ENSP00000326981;9606.ENSP00000000412;9606.ENSP00000379891;9606.ENSP00000273398;9606.ENSP00000306330;9606.ENSP00000414359;9606.ENSP00000264972;9606.ENSP00000316029;9606.ENSP00000393845;9606.ENSP00000274496;9606.ENSP00000254286;9606.ENSP00000200557;9606.ENSP00000353575;9606.ENSP00000260731;9606.ENSP00000311083;9606.ENSP00000384952;9606.ENSP00000230449;9606.ENSP00000216366;9606.ENSP00000496250;9606.ENSP00000258383;9606.ENSP00000255082;9606.ENSP00000364815;9606.ENSP00000421339;9606.ENSP00000454786;9606.ENSP00000385885;9606.ENSP00000308897;9606.ENSP00000297044;9606.ENSP00000287777;9606.ENSP00000310933;9606.ENSP00000245157;9606.ENSP00000376297;9606.ENSP00000387535;9606.ENSP00000366565;9606.ENSP00000306968;9606.ENSP00000369461;9606.ENSP00000339001;9606.ENSP00000318884;9606.ENSP00000363193;9606.ENSP00000339754;9606.ENSP00000429900;9606.ENSP00000432973;9606.ENSP00000279022;9606.ENSP00000340989;9606.ENSP00000232564;9606.ENSP00000470176;9606.ENSP00000386741;9606.ENSP00000360431;9606.ENSP00000259818;9606.ENSP00000393963;9606.ENSP00000438788;9606.ENSP00000246662;9606.ENSP00000296859;9606.ENSP00000246194;9606.ENSP00000323867;9606.ENSP00000482620;9606.ENSP00000354558;9606.ENSP00000366156;9606.ENSP00000442008;9606.ENSP00000264712;9606.ENSP00000267622;9606.ENSP00000330945;9606.ENSP00000359370;9606.ENSP00000229340;9606.ENSP00000278572;9606.ENSP00000360850;9606.ENSP00000325369;9606.ENSP00000309597;9606.ENSP00000358200;9606.ENSP00000410992;9606.ENSP00000346206;9606.ENSP00000016946;9606.ENSP00000268661;9606.ENSP00000389631;9606.ENSP00000348602;9606.ENSP00000278568;9606.ENSP00000396467;9606.ENSP00000248975;9606.ENSP00000355605;9606.ENSP00000226004;9606.ENSP00000356530;9606.ENSP00000464849;9606.ENSP00000224862;9606.ENSP00000250617;9606.ENSP00000217402;9606.ENSP00000377522;9606.ENSP00000355925;9606.ENSP00000442973;9606.ENSP00000375810;9606.ENSP00000483825;9606.ENSP00000317128;9606.ENSP00000385205;9606.ENSP00000204726;9606.ENSP00000464030;9606.ENSP00000318197;9606.ENSP00000264071;9606.ENSP00000272317;9606.ENSP00000367343;9606.ENSP00000225724;9606.ENSP00000332118;9606.ENSP00000295050;9606.ENSP00000359871;9606.ENSP00000376197;9606.ENSP00000355645;9606.ENSP00000263093;9606.ENSP00000324511;9606.ENSP00000274376;9606.ENSP00000260643;9606.ENSP00000275493;9606.ENSP00000336702;9606.ENSP00000300151;9606.ENSP00000265840;9606.ENSP00000451828;9606.ENSP00000357079;9606.ENSP00000225577;9606.ENSP00000369436;9606.ENSP00000304102;9606.ENSP00000341779;9606.ENSP00000285928;9606.ENSP00000356737;9606.ENSP00000435777;9606.ENSP00000303208;9606.ENSP00000163416;9606.ENSP00000160827;9606.ENSP00000431040;9606.ENSP00000216254;9606.ENSP00000229379;9606.ENSP00000298316;9606.ENSP00000331268;9606.ENSP00000449328;9606.ENSP00000224073;9606.ENSP00000418754;9606.ENSP00000290277;9606.ENSP00000489442;9606.ENSP00000463393;9606.ENSP00000399403;9606.ENSP00000386918;9606.ENSP00000420127;9606.ENSP00000264710;9606.ENSP00000341289;9606.ENSP00000276616;9606.ENSP00000287152;9606.ENSP00000385545;9606.ENSP00000336799;9606.ENSP00000360183;9606.ENSP00000296271;9606.ENSP00000361486;9606.ENSP00000373312;9606.ENSP00000333947;9606.ENSP00000284669;9606.ENSP00000285039;9606.ENSP00000444357;9606.ENSP00000351490;9606.ENSP00000217182;9606.ENSP00000431822;9606.ENSP00000222008;9606.ENSP00000354560;9606.ENSP00000491316;9606.ENSP00000404190;9606.ENSP00000360498;9606.ENSP00000302486;9606.ENSP00000304593;9606.ENSP00000320130;9606.ENSP00000382177;9606.ENSP00000220676;9606.ENSP00000441875;9606.ENSP00000217133;9606.ENSP00000315554;9606.ENSP00000234454;9606.ENSP00000424363;9606.ENSP00000219409;9606.ENSP00000312999;9606.ENSP00000251337;9606.ENSP00000309968;9606.ENSP00000466363;9606.ENSP00000398131;9606.ENSP00000316674;9606.ENSP00000470246;9606.ENSP00000344223;9606.ENSP00000369038;9606.ENSP00000300648;9606.ENSP00000474246;9606.ENSP00000006777;9606.ENSP00000431885;9606.ENSP00000477713;9606.ENSP00000479844;9606.ENSP00000324287;9606.ENSP00000438085;9606.ENSP00000373905;9606.ENSP00000333401;9606.ENSP00000264718;9606.ENSP00000219313;9606.ENSP00000263245;9606.ENSP00000466898;9606.ENSP00000356231;9606.ENSP00000470262;9606.ENSP00000245816;9606.ENSP00000477781;9606.ENSP00000283148;9606.ENSP00000498466;9606.ENSP00000465685;9606.ENSP00000390783;9606.ENSP00000469413;9606.ENSP00000302895;9606.ENSP00000376652;9606.ENSP00000473381;9606.ENSP00000356130;9606.ENSP00000343325;9606.ENSP00000249363;9606.ENSP00000297814;9606.ENSP00000375892;9606.ENSP00000392495;9606.ENSP00000375730;9606.ENSP00000298283;9606.ENSP00000358921;9606.ENSP00000403663;9606.ENSP00000385025;9606.ENSP00000419449;9606.ENSP00000416706;9606.ENSP00000474032;9606.ENSP00000227756;9606.ENSP00000283195;9606.ENSP00000302393;9606.ENSP00000448696;9606.ENSP00000409231;9606.ENSP00000454229;9606.ENSP00000296557;9606.ENSP00000391490;9606.ENSP00000222792;9606.ENSP00000301838;9606.ENSP00000367407;9606.ENSP00000320563;9606.ENSP00000445175;9606.ENSP00000264027;9606.ENSP00000388241;9606.ENSP00000327116;9606.ENSP00000439189;9606.ENSP00000414964;9606.ENSP00000450895;9606.ENSP00000446252;9606.ENSP00000263934;9606.ENSP00000296674;9606.ENSP00000482306;9606.ENSP00000351338;9606.ENSP00000320176;9606.ENSP00000340466;9606.ENSP00000364749;9606.ENSP00000480853;9606.ENSP00000333942;9606.ENSP00000394484;9606.ENSP00000299601;9606.ENSP00000296526;9606.ENSP00000291041;9606.ENSP00000410452;9606.ENSP00000261880;9606.ENSP00000404676;9606.ENSP00000221855;9606.ENSP00000357320;9606.ENSP00000290949;9606.ENSP00000263955;9606.ENSP00000029410;9606.ENSP00000272418;9606.ENSP00000478479;9606.ENSP00000375632;9606.ENSP00000427562;9606.ENSP00000373301;9606.ENSP00000354376;9606.ENSP00000498715;9606.ENSP00000355995;9606.ENSP00000336740;9606.ENSP00000244314;9606.ENSP00000274643;9606.ENSP00000464893;9606.ENSP00000395281;9606.ENSP00000054666;9606.ENSP00000495274;9606.ENSP00000427793;9606.ENSP00000332772;9606.ENSP00000268613;9606.ENSP00000399415;9606.ENSP00000314499;9606.ENSP00000338769;9606.ENSP00000317955;9606.ENSP00000265070;9606.ENSP00000366746;9606.ENSP00000306788;9606.ENSP00000392828;9606.ENSP00000302783;9606.ENSP00000466298;9606.ENSP00000458162;9606.ENSP00000317473;9606.ENSP00000475344;9606.ENSP00000343190;9606.ENSP00000259708;9606.ENSP00000481762;9606.ENSP00000261183;9606.ENSP00000236671;9606.ENSP00000258424;9606.ENSP00000442460;9606.ENSP00000333298;9606.ENSP00000358335;9606.ENSP00000394560;9606.ENSP00000377508;9606.ENSP00000357631;9606.ENSP00000476295;9606.ENSP00000363103;9606.ENSP00000319192;9606.ENSP00000263025;9606.ENSP00000377665;9606.ENSP00000342793;9606.ENSP00000318646;9606.ENSP00000365686;9606.ENSP00000367203;9606.ENSP00000270162;9606.ENSP00000351682;9606.ENSP00000340648;9606.ENSP00000406885;9606.ENSP00000468367;9606.ENSP00000222547;9606.ENSP00000297679;9606.ENSP00000274289;9606.ENSP00000248244;9606.ENSP00000278353;9606.ENSP00000361009;9606.ENSP00000305995;9606.ENSP00000354040;9606.ENSP00000366487;9606.ENSP00000377275;9606.ENSP00000381844;9606.ENSP00000427900;9606.ENSP00000387286;9606.ENSP00000427463;9606.ENSP00000293879;9606.ENSP00000216446;9606.ENSP00000287600;9606.ENSP00000320117;9606.ENSP00000495726;9606.ENSP00000473623;9606.ENSP00000224784;9606.ENSP00000464443;9606.ENSP00000400175;9606.ENSP00000360165;9606.ENSP00000436005;9606.ENSP00000316338;9606.ENSP00000161006;9606.ENSP00000293441;9606.ENSP00000300557;9606.ENSP00000354739;9606.ENSP00000246792;9606.ENSP00000353670;9606.ENSP00000365745;9606.ENSP00000440005;9606.ENSP00000242067;9606.ENSP00000431240;9606.ENSP00000465992;9606.ENSP00000379563;9606.ENSP00000220751;9606.ENSP00000471735;9606.ENSP00000398526;9606.ENSP00000377233;9606.ENSP00000348965;9606.ENSP00000282728;9606.ENSP00000345672;9606.ENSP00000439601;9606.ENSP00000357288;9606.ENSP00000253794;9606.ENSP00000257787;9606.ENSP00000305442;9606.ENSP00000337040;9606.ENSP00000416418;9606.ENSP00000373304;9606.ENSP00000385958;9606.ENSP00000360214;9606.ENSP00000347408;9606.ENSP00000308275;9606.ENSP00000312439;9606.ENSP00000374566;9606.ENSP00000484390;9606.ENSP00000350199;9606.ENSP00000275815;9606.ENSP00000336666;9606.ENSP00000478352;9606.ENSP00000479860;9606.ENSP00000414982;9606.ENSP00000377061;9606.ENSP00000405963;9606.ENSP00000369899;9606.ENSP00000354837;9606.ENSP00000417602;9606.ENSP00000345629;9606.ENSP00000414906;9606.ENSP00000352438;9606.ENSP00000496007;9606.ENSP00000245539;9606.ENSP00000264601;9606.ENSP00000453858;9606.ENSP00000468424;9606.ENSP00000375820;9606.ENSP00000303145;9606.ENSP00000259351;9606.ENSP00000262215;9606.ENSP00000320821;9606.ENSP00000402756;9606.ENSP00000349588;9606.ENSP00000379339;9606.ENSP00000303709
9606.ENSP00000356607,9606.ENSP00000000233
9606.ENSP00000427567,9606.ENSP00000000233
9606.ENSP00000253413,9606.ENSP00000000233
9606.ENSP00000493357,9606.ENSP00000000233
9606.ENSP00000324127,9606.ENSP00000000233
9606.ENSP00000325266,9606.ENSP00000000233
9606.ENSP00000320935,9606.ENSP00000000233
9606.ENSP00000371175,9606.ENSP00000000233
9606.ENSP00000480364,9606.ENSP00000000233
